ktc_low;ktc_high;tot_erosion;tot_sedimentation;sed_river;sed_noriver;sed_buffer;sed_sewerin;sed_openwater;outlet_1;outlet_2
3.00;24.00;-2472641142.17;2000042606.81;3346659.45;119216.56;581094.01;3236002.04;;3346294.75;0
3.00;25.00;-2515419456.05;2034606137.07;3445290.69;121367.21;593294.55;3320579.08;;3444923.75;0
4.00;4.00;-2524961912.13;2041720419.64;871706.06;34669.78;260025.96;956905.02;;871243.125;0
4.00;5.00;-2536602784.17;2050490187.32;1047676.06;42939.98;291937.65;1122679.46;;1047213.625;0
4.00;6.00;-2550357150.02;2060943151.24;1217422.35;51210.18;323100.15;1284811.67;;1216960.375;0
4.00;7.00;-2566219867.28;2073089583.11;1380075.68;59105.62;353550.11;1443459.54;;1379613.125;0
4.00;8.00;-2584146462.25;2086916036.30;1538047.29;66534.06;380866.48;1597052.55;;1537584.25;0
4.00;9.00;-2604071208.83;2102395764.17;1689145.26;72787.99;403508.35;1738309.82;;1688681.75;0
4.00;10.00;-2625909785.41;2119469222.55;1830638.09;77446.19;423767.68;1870949.12;;1830175.5;0
4.00;11.00;-2649579512.80;2138071308.04;1964176.63;81918.39;440771.73;1999529.79;;1963713.125;0
4.00;12.00;-2675010282.62;2158146324.84;2092698.53;86009.17;456138.82;2123052.24;;2092235.875;0
4.00;13.00;-2702130497.47;2179636054.12;2216640.14;89617.37;470892.45;2240175.66;;2216177.75;0
4.00;14.00;-2730854232.83;2202468607.93;2335758.57;92859.53;485125.68;2350560.72;;2335296.75;0
4.00;15.00;-2761133288.06;2226605093.04;2451458.26;95959.39;499201.60;2456591.14;;2450996;0
4.00;16.00;-2792921891.81;2252005814.13;2565395.46;98860.85;513175.80;2559144.50;;2564933.25;0
4.00;17.00;-2826170749.88;2278626008.12;2677414.22;101662.52;527073.32;2659705.26;;2676950.5;0
4.00;18.00;-2860825960.92;2306417994.11;2786650.93;104391.36;540913.77;2757342.20;;2786188.5;0
4.00;19.00;-2896822815.83;2335321555.81;2892984.38;107052.58;554698.73;2853512.95;;2892522.25;0
4.00;20.00;-2934104850.65;2365282674.68;2998337.60;109608.75;568377.07;2948811.76;;2997876.5;0
4.00;21.00;-2972620804.68;2396254068.73;3102102.84;112104.84;582035.03;3042236.84;;3101640.25;0
4.00;22.00;-3012309652.90;2428179492.95;3204211.12;114567.44;595626.82;3132713.36;;3203750;0
4.00;23.00;-3053110933.60;2461001146.83;3305186.33;117001.32;609138.85;3221676.16;;3304723.75;0
4.00;24.00;-3094965367.36;2494664288.16;3405001.14;119402.13;621839.34;3308075.96;;3404540.5;0
4.00;25.00;-3137814163.40;2529114211.07;3503632.39;121552.79;634175.69;3392817.05;;3503170;0
5.00;5.00;-3149564702.42;2537883023.67;1076870.91;43103.19;319931.23;1170443.07;;1076311.75;0
5.00;6.00;-3163406094.35;2548302636.37;1249547.39;51373.39;352193.33;1335665.67;;1248988.5;0
5.00;7.00;-3179333182.05;2560383755.97;1416745.87;59268.83;383692.95;1498039.80;;1416187.125;0
5.00;8.00;-3197300626.13;2574116205.60;1576724.83;66697.27;412285.99;1653239.07;;1576165.25;0
5.00;9.00;-3217255763.69;2589486058.35;1729818.77;72951.20;436214.40;1795214.83;;1729259.375;0
5.00;10.00;-3239129270.91;2606446172.63;1874406.19;77609.40;459121.15;1929404.67;;1873847.125;0
5.00;11.00;-3262840354.26;2624936936.02;2009830.11;82081.60;477476.04;2059192.01;;2009270.5;0
5.00;12.00;-3288318362.86;2644902629.17;2140770.38;86172.39;493448.74;2183588.00;;2140211.25;0
5.00;13.00;-3315486759.52;2666282294.17;2265404.41;89780.58;508472.25;2301432.78;;2264844.75;0
5.00;14.00;-3344267563.64;2689010920.36;2385895.02;93022.74;522975.72;2412903.68;;2385336.5;0
5.00;15.00;-3374603057.86;2713039781.75;2503215.28;96122.60;537258.23;2520146.12;;2502655;0
5.00;16.00;-3406440996.55;2738324256.85;2617725.17;99024.06;551466.24;2623384.01;;2617165.5;0
5.00;17.00;-3439737144.97;2764824739.83;2730388.40;101825.73;565568.11;2724489.12;;2729827.25;0
5.00;18.00;-3474438458.63;2792493617.75;2841170.90;104554.57;579595.68;2822575.28;;2840610.25;0
5.00;19.00;-3510483628.34;2821275027.52;2948250.38;107215.79;593569.50;2919050.99;;2947690;0
5.00;20.00;-3547819787.81;2851118926.83;3054122.11;109771.96;607416.75;3014539.85;;3053562.5;0
5.00;21.00;-3586390054.12;2881971892.47;3158223.71;112268.06;621241.52;3108846.76;;3157663.75;0
5.00;22.00;-3626133243.29;2913778248.08;3260435.46;114730.65;634983.99;3199737.96;;3259876;0
5.00;23.00;-3666990810.92;2946482299.42;3361698.39;117164.53;648537.27;3288851.69;;3361139.75;0
5.00;24.00;-3708901784.22;2980027293.32;3462054.70;119565.34;661344.98;3375394.87;;3461496.25;0
5.00;25.00;-3751812590.90;3014364026.55;3560832.72;121716.00;673792.72;3460275.54;;3560272.25;0
6.00;6.00;-3765736257.41;3024761149.02;1277287.02;51524.82;379239.91;1380963.36;;1276631.375;0
6.00;7.00;-3781730223.84;3036796110.34;1446643.00;59420.26;412112.46;1545339.14;;1445987.625;0
6.00;8.00;-3799750980.04;3050460361.85;1610522.34;66848.70;441626.76;1703117.16;;1609865.625;0
6.00;9.00;-3819737563.96;3065732683.01;1766878.31;73102.63;466519.47;1848439.59;;1766221.875;0
6.00;10.00;-3841635300.84;3082582685.83;1914268.65;77760.83;490480.92;1983997.79;;1913613.125;0
6.00;11.00;-3865375912.36;3100963104.62;2051333.89;82233.03;511059.30;2114738.32;;2050677.375;0
6.00;12.00;-3890888684.15;3120820607.42;2183026.93;86323.82;528279.58;2239741.58;;2182371.25;0
6.00;13.00;-3918099460.93;3142095449.84;2309886.80;89932.01;544455.72;2358264.78;;2309231.25;0
6.00;14.00;-3946924573.29;3164717878.26;2432108.43;93174.17;559840.96;2470351.27;;2431453.25;0
6.00;15.00;-3977307110.51;3188639490.38;2552385.93;96274.03;574304.32;2578130.10;;2551729.25;0
6.00;16.00;-4009192427.56;3213814872.21;2668182.31;99175.49;588623.88;2682042.81;;2667526.25;0
6.00;17.00;-4042527609.78;3240197437.75;2780904.54;101977.16;602787.75;2783400.09;;2780248;0
6.00;18.00;-4077263344.68;3267743236.99;2891806.91;104706.00;616886.61;2881749.33;;2891150.5;0
6.00;19.00;-4113342747.82;3296399885.36;3000064.58;107367.22;630933.85;2978457.40;;2999409.25;0
6.00;20.00;-4150715851.56;3326120840.71;3106452.56;109923.39;644833.66;3074243.64;;3105797;0
6.00;21.00;-4189329316.99;3356856174.37;3211197.55;112419.48;658671.97;3168798.72;;3210542;0
6.00;22.00;-4229118834.68;3388546261.48;3314017.17;114882.08;672446.21;3260788.08;;3313361.75;0
6.00;23.00;-4270021300.68;3421131650.82;3415692.62;117315.96;686145.12;3350279.86;;3415036.25;0
6.00;24.00;-4311975218.50;3454555530.90;3516149.47;119716.77;699108.78;3437034.12;;3515494.5;0
6.00;25.00;-4354927551.75;3488768978.69;3615357.87;121867.43;711710.80;3522083.65;;3614700.75;0
7.00;7.00;-4370977243.94;3500762213.09;1473188.61;59546.90;436831.67;1587301.92;;1472436.375;0
7.00;8.00;-4389046989.86;3514368797.28;1638995.89;66975.35;467931.54;1748296.38;;1638242.625;0
7.00;9.00;-4409072094.66;3529566015.96;1797895.61;73229.27;494122.68;1895183.06;;1797142.125;0
7.00;10.00;-4430994765.52;3546319852.48;1949299.13;77887.47;518917.28;2032985.53;;1948546.5;0
7.00;11.00;-4454750101.29;3564585621.74;2090250.19;82359.67;541027.93;2166640.14;;2089497.25;0
7.00;12.00;-4480275165.49;3584321392.02;2223019.16;86450.46;560345.31;2293197.97;;2222267;0
